"","employees","salaries_2017","salary_ajustments","salaries_2018","raise"
"1","Employee 1",43969.0390368924,5355.71640124545,49324.7554381378,TRUE
"2","Employee 2",45233.5720858537,1750.55273342878,46984.1248192824,TRUE
"3","Employee 3",40536.9468638673,3045.67215032876,43582.6190141961,TRUE
"4","Employee 4",47122.812808957,-1546.89690447412,45575.9159044828,FALSE
"5","Employee 5",48029.8509867862,-310.098207555711,47719.7527792305,FALSE
"6","Employee 6",42823.6219985411,2716.00660751574,45539.6286060568,TRUE
"7","Employee 7",46458.728897851,6309.2625385616,52767.9914364126,TRUE
"8","Employee 8",49569.5048430935,8183.06866218336,57752.5735052768,TRUE
"9","Employee 9",46595.8302211948,-3999.88463032059,42595.9455908742,FALSE
"10","Employee 10",40504.3026152998,4703.50555027835,45207.8081655782,TRUE
"11","Employee 11",45260.4883396998,-1820.98648627289,43439.5018534269,FALSE
"12","Employee 12",42226.5184158459,-4364.86802413128,37861.6503917146,FALSE
"13","Employee 13",49997.4921229295,2821.2567337323,52818.7488566618,TRUE
"14","Employee 14",45880.2615944296,-4035.75488366187,41844.5067107677,FALSE
"15","Employee 15",42463.1397170015,-4832.63793168589,37630.5017853156,FALSE
"16","Employee 16",48879.7535491176,2134.38282953575,51014.1363786533,TRUE
"17","Employee 17",49120.7792423666,6443.39178223163,55564.1710245982,TRUE
"18","Employee 18",44132.5284121558,5806.56365840696,49939.0920705628,TRUE
"19","Employee 19",40585.4622693732,-2560.43451256119,38025.0277568121,FALSE
"20","Employee 20",43301.1424378492,1292.04051219858,44593.1829500478,TRUE
"21","Employee 21",45660.4437343776,5049.84314902686,50710.2868834045,TRUE
"22","Employee 22",40148.8252147101,4173.99435536936,44322.8195700794,TRUE
"23","Employee 23",42380.8050784282,-2728.95024856552,39651.8548298627,FALSE
"24","Employee 24",41996.1423473433,5295.9618519526,47292.1041992959,TRUE
"25","Employee 25",47013.0087784491,-3897.66014064662,43115.3486378025,FALSE
"26","Employee 26",47270.2537337318,-4839.68738466501,42430.5663490668,FALSE
"27","Employee 27",45212.6323152333,1893.00267142244,47105.6349866558,TRUE
"28","Employee 28",44843.6957411468,-2583.38022045791,42260.3155206889,FALSE
"29","Employee 29",43313.6701164767,517.524908063933,43831.1950245406,TRUE
"30","Employee 30",45999.6104799211,-4279.82388297096,41719.7865969501,FALSE
"31","Employee 31",41230.4333178326,1192.28461524472,42422.7179330774,TRUE
"32","Employee 32",49193.610206712,-848.669729894027,48344.940476818,FALSE
"33","Employee 33",43409.2544042505,-923.194194911048,42486.0602093395,FALSE
"34","Employee 34",42231.7846352234,5628.42695740983,47860.2115926333,TRUE
"35","Employee 35",42076.0824345052,676.137813134119,42752.2202476393,TRUE
"36","Employee 36",42856.3429182395,7749.64947719127,50605.9923954308,TRUE
"37","Employee 37",40350.9005601518,-2839.39669025131,37511.5038699005,FALSE
"38","Employee 38",42965.8309346996,8531.51269257069,51497.3436272703,TRUE
"39","Employee 39",43113.7348362245,-1131.66051567532,41982.0743205491,FALSE
"40","Employee 40",46793.4003192931,4097.72249055095,50891.1228098441,TRUE
"41","Employee 41",44472.1785397269,8235.37173797376,52707.5502777006,TRUE
"42","Employee 42",42195.7555296831,2433.65100584924,44629.4065355323,TRUE
"43","Employee 43",43991.9806062244,-1901.71678666957,42090.2638195548,FALSE
"44","Employee 44",40046.4444374666,-2673.53677074425,37372.9076667223,FALSE
"45","Employee 45",48195.2276080847,-2814.31386945769,45380.913738627,FALSE
"46","Employee 46",42992.8576224484,5303.5897470545,48296.4473695029,TRUE
"47","Employee 47",42479.6524690464,8911.66255343705,51391.3150224835,TRUE
"48","Employee 48",48773.9137164317,-1923.07930323295,46850.8344131988,FALSE
"49","Employee 49",45125.2745627426,377.279375679791,45502.5539384224,TRUE
"50","Employee 50",44574.7799519449,9382.52937165089,53957.3093235958,TRUE
"51","Employee 51",44883.017221,-3383.9447540231,41499.0724669769,FALSE
"52","Employee 52",40547.0444704406,4403.18214823492,44950.2266186755,TRUE
"53","Employee 53",40806.7063405178,-508.715201867744,40297.9911386501,FALSE
"54","Employee 54",42383.3921086043,-716.034829383716,41667.3572792206,FALSE
"55","Employee 55",43900.7794833742,3155.33514949493,47056.1146328691,TRUE
"56","Employee 56",42666.4633187465,6592.850566376,49259.3138851225,TRUE
"57","Employee 57",44205.6807409972,5837.94148406014,50043.6222250573,TRUE
"58","Employee 58",44877.5895894505,3884.18418238871,48761.7737718392,TRUE
"59","Employee 59",40230.5544912815,8798.27070399188,49028.8251952734,TRUE
"60","Employee 60",43130.300748162,5240.74760847725,48371.0483566392,TRUE
"61","Employee 61",43118.7728303485,-500.833796104416,42617.939034244,FALSE
"62","Employee 62",44496.9793711789,5472.97324752435,49969.9526187032,TRUE
"63","Employee 63",40095.716167707,-3591.9743462,36503.741821507,FALSE
"64","Employee 64",45465.7984641381,4240.23685744032,49706.0353215784,TRUE
"65","Employee 65",47619.3733583204,-1008.49787821062,46610.8754801098,FALSE
"66","Employee 66",45163.6217767373,2645.36859700456,47808.9903737418,TRUE
"67","Employee 67",42659.4298984855,259.739322355017,42919.1692208406,TRUE
"68","Employee 68",40825.959071517,2155.05565865897,42981.014730176,TRUE
"69","Employee 69",43869.253299199,7191.63319678046,51060.8864959795,TRUE
"70","Employee 70",48976.6296278685,4300.95474934205,53277.5843772106,TRUE
"71","Employee 71",49902.6538338512,3280.12965270318,53182.7834865544,TRUE
"72","Employee 72",42192.9189912044,6027.53210812807,48220.4510993324,TRUE
"73","Employee 73",45897.0038220286,-2526.12122218125,43370.8825998474,FALSE
"74","Employee 74",43013.6322649196,8149.64047982357,51163.2727447432,TRUE
"75","Employee 75",43360.6645511463,5826.11984340474,49186.7843945511,TRUE
"76","Employee 76",41633.3014681004,-1607.20983170904,40026.0916363914,FALSE
"77","Employee 77",42696.7396214604,6309.56819164567,49006.3078131061,TRUE
"78","Employee 78",47724.8705388047,-3930.89510966092,43793.9754291438,FALSE
"79","Employee 79",48616.2183713168,3370.84162281826,51987.0599941351,TRUE
"80","Employee 80",46027.4328617379,3482.6273843646,49510.0602461025,TRUE
"81","Employee 81",42978.6286596209,2284.27517111413,45262.903830735,TRUE
"82","Employee 82",48979.7235745937,5532.60288899764,54512.3264635913,TRUE
"83","Employee 83",43573.6804944463,6646.89231780358,50220.5728122499,TRUE
"84","Employee 84",44230.9143510647,-1146.39214007184,43084.5222109929,FALSE
"85","Employee 85",40387.0634175837,9940.73282345198,50327.7962410357,TRUE
"86","Employee 86",45672.8585343808,8286.75947501324,53959.618009394,TRUE
"87","Employee 87",41423.7932581455,-2593.02546153776,38830.7677966077,FALSE
"88","Employee 88",47494.1667029634,6813.38316760957,54307.549870573,TRUE
"89","Employee 89",46132.4832076207,5592.42771356367,51724.9109211843,TRUE
"90","Employee 90",41075.9277432226,5369.20014536008,46445.1278885826,TRUE
"91","Employee 91",48609.6006678417,-421.91063053906,48187.6900373027,FALSE
"92","Employee 92",49607.9948032275,8715.62210726552,58323.616910493,TRUE
"93","Employee 93",44080.8033500798,1676.22031876817,45757.023668848,TRUE
"94","Employee 94",46453.1005732715,-172.372292727232,46280.7282805443,FALSE
"95","Employee 95",47920.2109901235,1303.86517383158,49224.076163955,TRUE
"96","Employee 96",44177.46322928,2746.60120718181,46924.0644364618,TRUE
"97","Employee 97",49814.9636900052,-3942.96212005429,45872.001569951,FALSE
"98","Employee 98",43007.0501915179,1135.94371476211,44142.99390628,TRUE
"99","Employee 99",49836.0799718648,-4231.48334841244,45604.5966234524,FALSE
"100","Employee 100",41113.9425938018,-3197.06724025309,37916.8753535487,FALSE
